,POI_category_name,POI_category_ID,POI_yelp_id,POI_alias,POI_name,POI_image_url,POI_is_closed,POI_url,POI_review_count,POI_rating,POI_price,POI_phone,POI_display_phone
21,Bar,13003,76rysffTZ06sCdlyqY9oQQ,r-and-b-brewing-vancouver-3,R&B Brewing,https://s3-media1.fl.yelpcdn.com/bphoto/REoCAS3oNlbw7htMtir4Mw/o.jpg,False,https://www.yelp.com/biz/r-and-b-brewing-vancouver-3?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,68,4.0,$,16048742537.0,+1 604-874-2537
24,Bar,13003,7G4FYuYUFmbD_ueyTQ_16Q,steamworks-brewing-kitchen-and-taphouse-vancouver,Steamworks Brewing kitchen & Taphouse,https://s3-media3.fl.yelpcdn.com/bphoto/Ua8n8IJQG_HL36U7mW7EUw/o.jpg,False,https://www.yelp.com/biz/steamworks-brewing-kitchen-and-taphouse-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,2,3.5,,,
27,Bar,13003,acjbJwvPkp1FSZKlLsvoQQ,key-party-vancouver,Key Party,https://s3-media1.fl.yelpcdn.com/bphoto/HnIBe-fj4QpjCE7SYYHB-w/o.jpg,False,https://www.yelp.com/biz/key-party-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,23,4.5,,,
28,Bar,13003,ZEYEuxs6yKrIJl_TJpKQYg,slims-bbq-vancouver,Slim's BBQ,https://s3-media2.fl.yelpcdn.com/bphoto/wiAhTtkPwu9B3kyHCY44Kg/o.jpg,False,https://www.yelp.com/biz/slims-bbq-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,9,3.5,,16047080881.0,+1 604-708-0881
30,Bar,13003,7mC73EaD-pi3yyR63ZVn3A,the-cascade-room-vancouver,The Cascade Room,https://s3-media1.fl.yelpcdn.com/bphoto/7BHQmpgTD_YZg296Zjhehw/o.jpg,False,https://www.yelp.com/biz/the-cascade-room-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,230,4.0,$$,16047098650.0,+1 604-709-8650
33,Bar,13003,iKy131NegkATfc600jPJgw,novella-coffee-bar-vancouver,Novella Coffee Bar,https://s3-media4.fl.yelpcdn.com/bphoto/zUeF45WddBUSm27mBr69-w/o.jpg,False,https://www.yelp.com/biz/novella-coffee-bar-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,1,5.0,,16044286711.0,+1 604-428-6711
36,Bar,13003,0DOiGpJm17_9vysNWOiHng,tocador-vancouver-3,Tocador,https://s3-media4.fl.yelpcdn.com/bphoto/0oHdS4VqZEe566-VjtlNCQ/o.jpg,False,https://www.yelp.com/biz/tocador-vancouver-3?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,47,3.5,$$,16046202433.0,+1 604-620-2433
38,Bar,13003,0kB2wCl1sFHf3QA7VIqxwA,lucys-eastside-diner-vancouver,Lucy's Eastside Diner,https://s3-media3.fl.yelpcdn.com/bphoto/NQffpU_66QhD9Xn16ojlRg/o.jpg,False,https://www.yelp.com/biz/lucys-eastside-diner-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,338,3.0,$$,16045681550.0,+1 604-568-1550
41,Bar,13003,8oI3fyTrQ9hXeCidVFDUww,sing-sing-vancouver-2,Sing Sing,https://s3-media1.fl.yelpcdn.com/bphoto/jq1yBF2USKIJQC7TX-2r2w/o.jpg,False,https://www.yelp.com/biz/sing-sing-vancouver-2?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,118,3.5,$$,16043369556.0,+1 604-336-9556
43,Bar,13003,P8ivaSJ-_FmC01Z_2Npuig,craft-beer-market-vancouver-3,CRAFT Beer Market,https://s3-media3.fl.yelpcdn.com/bphoto/bKLX8EYYiI7wd3C4s6p1qA/o.jpg,False,https://www.yelp.com/biz/craft-beer-market-vancouver-3?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,514,3.5,$$,16047092337.0,+1 604-709-2337
46,Bar,13003,2Wlfty9MKueKN99mBqgT_Q,good-co-bars-vancouver,Good Co. Bars,https://s3-media1.fl.yelpcdn.com/bphoto/eop7LjECkyBdwasVSsMUKg/o.jpg,False,https://www.yelp.com/biz/good-co-bars-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,79,3.0,$$,16045656246.0,+1 604-565-6246
47,Bar,13003,0iDHaEPijSqg-31b-JfD1g,browns-crafthouse-vancouver-3,Browns Crafthouse,https://s3-media2.fl.yelpcdn.com/bphoto/UgzUEAEx94w5O40OkVCN1g/o.jpg,False,https://www.yelp.com/biz/browns-crafthouse-vancouver-3?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,19,4.0,,16048758416.0,+1 604-875-8416
48,Bar,13003,l184Y1d3oAa5_Al4YIaRjQ,anh-and-chi-vancouver,Anh and Chi,https://s3-media2.fl.yelpcdn.com/bphoto/pMvur_cjBwQ3nz1ye5PJeQ/o.jpg,False,https://www.yelp.com/biz/anh-and-chi-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,589,4.0,$$,16048788883.0,+1 604-878-8883
50,Bar,13003,X6BwoRVw9SZllZ4jAMfdSQ,suyo-modern-peruvian-vancouver,Suyo Modern Peruvian,https://s3-media3.fl.yelpcdn.com/bphoto/40v2LR5IZ0d3IFjyHUulhQ/o.jpg,False,https://www.yelp.com/biz/suyo-modern-peruvian-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,7,4.0,,16043221588.0,+1 604-322-1588
52,Bar,13003,O9KCg8IfPtbNSlk7M0OdSQ,johnnie-foxs-irish-pub-vancouver,Johnnie Fox's Irish Pub,https://s3-media2.fl.yelpcdn.com/bphoto/pk1SCMi4veVwS9t1K1iqOg/o.jpg,False,https://www.yelp.com/biz/johnnie-foxs-irish-pub-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,115,4.0,$$,12365200933.0,+1 236-520-0933
54,Bar,13003,MQK-AA9xOFFLKBfd7bVSZw,red-truck-beer-vancouver,Red Truck Beer,https://s3-media1.fl.yelpcdn.com/bphoto/sgzC6bDo9XYTB8WOhcIViQ/o.jpg,False,https://www.yelp.com/biz/red-truck-beer-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,84,4.0,$$,16046824733.0,+1 604-682-4733
57,Bar,13003,pzPNqJuBgkzDb9DV2fvjfQ,salsa-and-agave-mexican-grill-vancouver-2,Salsa & Agave Mexican Grill,https://s3-media1.fl.yelpcdn.com/bphoto/IGtPqGFFiXpxl-ytM-gDfQ/o.jpg,False,https://www.yelp.com/biz/salsa-and-agave-mexican-grill-vancouver-2?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,205,3.5,$$,16044084228.0,+1 604-408-4228
59,Bar,13003,BvzP3ytN5VWLAelR5i-DYA,the-yaletown-distillery-bar-kitchen-vancouver,The Yaletown Distillery Bar + Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/Rx2BAXI834rTp3JZwaYzug/o.jpg,False,https://www.yelp.com/biz/the-yaletown-distillery-bar-kitchen-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,190,3.5,$$,16046692255.0,+1 604-669-2255
61,Bar,13003,DhKfYlqLf5kKVC-XCByi_w,opus-bar-vancouver,OPUS Bar,https://s3-media4.fl.yelpcdn.com/bphoto/UpUlZCD-OvHIvQPJ-ziwCw/o.jpg,False,https://www.yelp.com/biz/opus-bar-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,21,3.5,$$,,
62,Bar,13003,NqNVJzRLCVojpC_qk9QQeQ,capo-and-the-spritz-vancouver,Capo & The Spritz,https://s3-media3.fl.yelpcdn.com/bphoto/t4_fBmj2Uy62vYd0cHgsRw/o.jpg,False,https://www.yelp.com/biz/capo-and-the-spritz-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,26,3.5,,,
65,Bar,13003,D4SQ5UvvAcuGP5q685952Q,bar-none-nightclub-vancouver,Bar None Nightclub,https://s3-media3.fl.yelpcdn.com/bphoto/SlvDQedHYNPvC44QubVqxg/o.jpg,False,https://www.yelp.com/biz/bar-none-nightclub-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,67,2.5,$$$,16046897000.0,+1 604-689-7000
67,Bar,13003,zSVlSPVRWk2I9u28cE8brw,zab-zaab-thai-cuisine-vancouver,Zab Zaab Thai Cuisine,https://s3-media3.fl.yelpcdn.com/bphoto/h9VcMIFpRdYZcnxuaRwCVw/o.jpg,False,https://www.yelp.com/biz/zab-zaab-thai-cuisine-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,14,4.5,,16044136999.0,+1 604-413-6999
70,Bar,13003,f7Sr6NKUtQYCZZSvYiNvtA,cactus-club-cafe-vancouver-2,Cactus Club Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/VNU8Qx2H1JivzBs7z375lg/o.jpg,False,https://www.yelp.com/biz/cactus-club-cafe-vancouver-2?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,210,3.5,$$$,16046858070.0,+1 604-685-8070
73,Bar,13003,UidLeoKe0_pysZvjoR3cjA,hello-goodbye-vancouver-2,Hello Goodbye,https://s3-media1.fl.yelpcdn.com/bphoto/XXVRffbj9-D9_CNYCEZ9rQ/o.jpg,False,https://www.yelp.com/biz/hello-goodbye-vancouver-2?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,34,3.5,$$,16046696292.0,+1 604-669-6292
74,Bar,13003,kZN_-zju67rEQVUSaewRhA,brix-and-mortar-vancouver,Brix & Mortar,https://s3-media4.fl.yelpcdn.com/bphoto/xYkmIrRrKEu39qPUwW44XA/o.jpg,False,https://www.yelp.com/biz/brix-and-mortar-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,313,4.0,$$$,16049159463.0,+1 604-915-9463
77,Bar,13003,R0a-ote_8rTnLgza_7tUBg,the-stock-room-vancouver,The Stock Room,https://s3-media2.fl.yelpcdn.com/bphoto/_jGLH2GKttkM1ZDDKqBjvA/o.jpg,False,https://www.yelp.com/biz/the-stock-room-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,6,5.0,,,
79,Bar,13003,vLpxH-y-1stv9fAstWji1A,isabelles-vancouver,Isabelle's,https://s3-media3.fl.yelpcdn.com/bphoto/AiCRK98qV5XyWjlMLihgfg/o.jpg,False,https://www.yelp.com/biz/isabelles-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,3,3.0,,16046097001.0,+1 604-609-7001
81,Bar,13003,qypochrDOaMZCqAO8KPLVw,the-loft-at-earls-yaletown-vancouver,The Loft at Earls Yaletown,https://s3-media4.fl.yelpcdn.com/bphoto/AsoitTbbcNOwflCbJVLaBA/o.jpg,False,https://www.yelp.com/biz/the-loft-at-earls-yaletown-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,16,3.5,,16043754347.0,+1 604-375-4347
83,Bar,13003,9S7kMX5ca5BtZMlv3b7WIg,earls-kitchen-bar-vancouver-4,Earls Kitchen + Bar,https://s3-media1.fl.yelpcdn.com/bphoto/TRQcMo54-QOu69DRxpXaSQ/o.jpg,False,https://www.yelp.com/biz/earls-kitchen-bar-vancouver-4?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,257,3.5,$$,16046884990.0,+1 604-688-4990
85,Bar,13003,fgmL4_Q7FjhfbaHUbXxYAQ,soho-bar-and-billiards-vancouver,Soho Bar & Billiards,https://s3-media1.fl.yelpcdn.com/bphoto/pPTj-2KUNxkCG4Z1jTs7IA/o.jpg,False,https://www.yelp.com/biz/soho-bar-and-billiards-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,46,3.5,$$,16046881180.0,+1 604-688-1180
87,Bar,13003,CPB1RrL5l2zRte-3JIjhLA,twb-the-wine-bar-vancouver,TWB The Wine Bar,https://s3-media2.fl.yelpcdn.com/bphoto/uQK4JhXQU5ymcs5_s35mIg/o.jpg,False,https://www.yelp.com/biz/twb-the-wine-bar-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,31,3.5,$$,16046814144.0,+1 604-681-4144
88,Bar,13003,b-GZORs3z5PYHn6TPAvu7Q,ocarina-bar-and-lounge-vancouver,Ocarina Bar & Lounge,https://s3-media2.fl.yelpcdn.com/bphoto/e9paz3PbQIumf-x8dVR4lQ/o.jpg,False,https://www.yelp.com/biz/ocarina-bar-and-lounge-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,1,4.0,,,
90,Bar,13003,AlwjfeiF78XQ_AlaVqZ9Og,bartholomew-bar-vancouver,Bartholomew Bar,https://s3-media1.fl.yelpcdn.com/bphoto/RQjm4jaB5X1HxPqN5uCiuA/o.jpg,False,https://www.yelp.com/biz/bartholomew-bar-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,33,4.0,,16044234131.0,+1 604-423-4131
92,Bar,13003,tcMvdTNquoTxdDY-o2IsZw,banter-room-vancouver,Banter Room,https://s3-media2.fl.yelpcdn.com/bphoto/d1xIA0Valu5n3lMOmh3TIw/o.jpg,False,https://www.yelp.com/biz/banter-room-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,116,3.5,$$,16045651039.0,+1 604-565-1039
95,Bar,13003,eYcDu70ze8OcXpAUZ_KmtQ,pierres-champagne-lounge-vancouver,Pierre's Champagne Lounge,https://s3-media2.fl.yelpcdn.com/bphoto/97WyDweHT17dkwg_UFjcxg/o.jpg,False,https://www.yelp.com/biz/pierres-champagne-lounge-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,23,2.0,$$$$,16041234567.0,+1 604-123-4567
96,Bar,13003,_Xxsjm_mUn5yQ17TrBmRHg,west-oak-restaurant-vancouver,West Oak Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/7Wai0kMuSfnqrYoDcIA31Q/o.jpg,False,https://www.yelp.com/biz/west-oak-restaurant-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,258,3.5,$$$,16046298808.0,+1 604-629-8808
99,Bar,13003,zUYE1lH1OUM419ArHHmWCQ,el-guapo-vancouver,El Guapo,https://s3-media2.fl.yelpcdn.com/bphoto/gnDpRaU5GLZoLpCkETE1cw/o.jpg,False,https://www.yelp.com/biz/el-guapo-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,39,4.0,,16044234224.0,+1 604-423-4224
102,Bar,13003,-naJRqkmbos0UeWApfEvtw,the-parlour-vancouver,The Parlour,https://s3-media1.fl.yelpcdn.com/bphoto/PiqM9cQBjncCHrH34hRXRQ/o.jpg,False,https://www.yelp.com/biz/the-parlour-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,456,4.0,$$,16045683322.0,+1 604-568-3322
105,Bar,13003,9Vu9gwCuAn4q9aVZrfIGWw,the-keg-steakhouse-bar-vancouver-12,The Keg Steakhouse + Bar - Yaletown,https://s3-media1.fl.yelpcdn.com/bphoto/Kjjuf3kCe1x6LfrSMpGwWA/o.jpg,False,https://www.yelp.com/biz/the-keg-steakhouse-bar-vancouver-12?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,286,3.5,$$$,16046332534.0,+1 604-633-2534
108,Bar,13003,RKFM6MkGY26lB4c4g9BzhQ,persian-tea-house-vancouver,Persian Tea House,https://s3-media1.fl.yelpcdn.com/bphoto/MqDaDePXCT3LONRdT2B0EQ/o.jpg,False,https://www.yelp.com/biz/persian-tea-house-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,3,3.5,,16046816672.0,+1 604-681-6672
110,Bar,13003,O1Je_bL0ICzdQZzefW71tA,the-edge-social-grille-and-lounge-vancouver-2,The Edge Social Grille & Lounge,https://s3-media4.fl.yelpcdn.com/bphoto/QaJhjk1b1xUtfAFdPHUqiA/o.jpg,False,https://www.yelp.com/biz/the-edge-social-grille-and-lounge-vancouver-2?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,64,3.5,$$,16046813343.0,+1 604-681-3343
113,Bar,13003,j72ni67tbBXDO2DaMyFe3Q,cabana-lounge-vancouver,Cabana Lounge,https://s3-media2.fl.yelpcdn.com/bphoto/YJi1_L5It7zL04qs-WPVBQ/o.jpg,False,https://www.yelp.com/biz/cabana-lounge-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,19,2.5,$$,17782513335.0,+1 778-251-3335
115,Bar,13003,icYGf_XvFfohguhPBXG7Iw,donnellans-irish-pub-vancouver,Donnellans Irish Pub,https://s3-media2.fl.yelpcdn.com/bphoto/YMl5c0TgWU75oBuoyHLDcQ/o.jpg,False,https://www.yelp.com/biz/donnellans-irish-pub-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,20,3.5,,16045644277.0,+1 604-564-4277
117,Bar,13003,wEe1nwpHw1KlxxuWNt_OCw,indus-grill-and-bar-vancouver-2,Indus Grill & Bar,https://s3-media1.fl.yelpcdn.com/bphoto/_IWzp-J1yvwPPLa8wbGXUg/o.jpg,False,https://www.yelp.com/biz/indus-grill-and-bar-vancouver-2?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,5,4.0,,16046870038.0,+1 604-687-0038
